number,id,factual1,relevant1,fluent1,factual2,relevant2,fluent2,factual3,relevant3,fluent3,Summary 1,Summary 2,Summary 3
0,1909,5,5,4,4,5,4,5,5,4,T5_BBOX,T5,Gold Standard
1,5200,3,5,5,4,5,5,5,5,5,T5_BBOX,Gold Standard,T5
2,1134,4,5,5,3,5,5,2,5,5,T5_BBOX,T5,Gold Standard
3,6399,4,5,5,5,5,5,4,5,5,T5,Gold Standard,T5_BBOX
4,4461,5,5,5,5,5,5,4,5,5,T5,Gold Standard,T5_BBOX
5,3973,4,5,5,4,5,5,5,5,5,Gold Standard,T5,T5_BBOX
6,2197,2,5,5,5,4,5,5,5,5,T5_BBOX,T5,Gold Standard
7,4262,3,4,4,5,3,5,5,5,5,T5,Gold Standard,T5_BBOX
8,4051,2,5,5,4,5,5,5,5,5,T5_BBOX,T5,Gold Standard
9,2671,5,5,5,3,5,4,5,5,5,Gold Standard,T5_BBOX,T5
10,5930,3,3,5,4,5,5,4,5,5,Gold Standard,T5,T5_BBOX
11,1532,5,4,5,3,5,5,4,5,5,T5_BBOX,T5,Gold Standard
12,4903,4,5,5,5,5,5,1,5,5,T5,Gold Standard,T5_BBOX
13,5865,4,5,5,3,5,5,5,5,5,Gold Standard,T5_BBOX,T5
14,1320,3,4,5,5,5,5,5,5,5,T5_BBOX,T5,Gold Standard
15,1233,5,5,5,5,5,5,3,5,5,T5,Gold Standard,T5_BBOX
16,2186,3,3,5,5,5,5,5,3,5,T5_BBOX,Gold Standard,T5
17,7540,4,5,5,5,5,5,3,4,5,Gold Standard,T5,T5_BBOX
18,5302,5,5,5,5,4,5,3,5,5,Gold Standard,T5,T5_BBOX
19,6838,5,5,5,5,4,5,4,5,5,T5,Gold Standard,T5_BBOX
20,6933,2,5,5,5,5,4,5,5,5,T5_BBOX,T5,Gold Standard
21,6729,3,5,4,3,4,5,5,5,5,T5,T5_BBOX,Gold Standard
22,280,5,5,5,5,5,5,4,5,4,Gold Standard,T5,T5_BBOX
23,3510,5,5,5,4,5,5,5,5,5,T5,T5_BBOX,Gold Standard
24,941,5,5,5,3,4,5,5,5,5,T5,T5_BBOX,Gold Standard
25,5393,5,5,5,5,5,5,5,5,5,Gold Standard,T5_BBOX,T5
26,3821,4,5,4,5,2,5,5,5,5,T5_BBOX,T5,Gold Standard
27,2186,5,5,5,3,3,5,5,5,4,Gold Standard,T5_BBOX,T5
28,848,5,5,4,5,4,5,5,5,5,T5,Gold Standard,T5_BBOX
29,280,5,5,5,3,4,5,5,5,5,T5,T5_BBOX,Gold Standard
30,1092,4,5,5,5,5,5,5,5,5,T5,T5_BBOX,Gold Standard
31,5311,2,5,5,5,5,5,5,5,5,T5_BBOX,Gold Standard,T5
32,3404,4,5,5,5,3,5,5,5,5,T5,T5_BBOX,Gold Standard
33,4384,5,5,5,5,5,5,5,5,5,T5_BBOX,Gold Standard,T5
34,2431,5,5,5,4,4,5,5,5,5,Gold Standard,T5_BBOX,T5
35,2679,5,5,5,5,5,5,2,4,5,Gold Standard,T5,T5_BBOX
36,6313,5,5,5,5,5,5,5,5,5,Gold Standard,T5_BBOX,T5
37,7286,5,5,5,5,4,5,4,5,5,T5_BBOX,Gold Standard,T5
38,6729,3,5,5,5,5,5,2,5,5,T5,Gold Standard,T5_BBOX
39,1233,3,5,5,5,3,5,5,5,5,T5_BBOX,T5,Gold Standard
40,1938,5,5,5,5,5,5,5,5,5,T5_BBOX,T5,Gold Standard
